code	name
ES-AL	アルメリア
ES-AN	アンダルシア
ES-AR	アラゴン
ES-AS	アストゥリアス
ES-AV	アビラ
ES-B	バルセロナ
ES-BA	バダホス
ES-BU	ブルゴス
ES-CA	カディス
ES-CB	カンタブリア
ES-CC	カセレス
ES-CE	セウタ
ES-CL	カスティーリャレオン
ES-CM	カスティーリャラマンチャ
ES-CN	カナリア
ES-CO	コルドバ
ES-CR	シウダーレアル
ES-CS	カステリョン
ES-CT	カタルーニャ
ES-CU	クエンカ
ES-EX	エストレマドゥーラ
ES-GC	ラスパルマス
ES-GR	グラナダ
ES-GU	グアダラハラ
ES-H	ウエルバ
ES-HU	ウエスカ
ES-J	ハエン
ES-LE	レオン
ES-LO	ラリオハ
ES-M	マドリード
ES-MA	マラガ
ES-MC	ムルシア
ES-MD	マドリード州
ES-ML	メリリヤ
ES-MU	ムルシア
ES-NC	マドリード州
ES-O	アストゥリアス
ES-OR	オレンセ
ES-P	パレンシア
ES-PO	ポンテベドラ
ES-PV	パスコ
ES-RI	ラリオハ
ES-S	カンタブリア
ES-SA	サラマンカ
ES-SE	セビーリャ
ES-SG	セゴビア
ES-SO	ソリア
ES-T	タラゴーナ
ES-TE	テルエル
ES-TF	サンタクルス・デ・テネリフェ
ES-TO	トレド
ES-V	パレンシア
ES-VA	バリャドリード
ES-VC	バレンシア
ES-VI	サラワン
ES-Z	サラゴーサ
ES-ZA	サモラ
ET-BE	ベニシャングルグムズ
ET-DD	ディレダワ
ET-HA	ハラレ
ET-OR	オロミヤ
ET-SI	アダマワ
ET-TI	ティグライ
FI-10	ラッピ
FI-11	ホルダラン
FI-17	タンバクンダ
FI-18	メリーランド
FJ-01	バム
FJ-02	ブシア
FJ-05	ラウテム
FJ-08	ダードラ=ナーガルハヴェリ
FJ-11	リアウ
FJ-C	セントラル
FJ-R	ロトゥーマ
FM-KSA	コスラエ
FM-PNI	ポーンペイ
FM-YAP	ヤップ
FR-20R	コルス (コルシカ)
FR-39	ジュラ
FR-75C	パリ
FR-971	グアドループ
FR-972	マルティニーク
FR-974	レユニオン
FR-976	マヨット
FR-ARA	ローヌ=アルプ
FR-BFC	フランシュコンテ
FR-BRE	ブルターニュ
FR-CVL	中部
FR-GES	北東県
FR-HDF	イルドフランス
FR-IDF	イルドフランス
FR-NAQ	アキテーヌ
FR-NOR	バスノルマンディー
FR-OCC	オック語
FR-PAC	プロヴァンス=アルプ=コートダジュール
FR-PDL	ペイドラロワール
GA-1	エスチュエール
GA-2	オートオグエ
GA-3	モアイヤンオグエ
GA-4	ングニエ
GA-5	ニヤンガ
GA-6	オグエイビンド
GA-7	オグエロロ
GA-8	オグエマリティーム
GA-9	ワォルンテム
GB-ABD	アバディーンシア
GB-ABE	アバディーン
GB-AGB	アーガイル及びビュート
GB-ANS	アンガス
GB-BAS	バス及び北西サマセット
GB-BBD	ブラックバーン with ダーウェン
GB-BDF	ベッドフォード
GB-BDG	バーキング及びダゲナム
GB-BEN	ブレント
GB-BEX	ベクスリー
GB-BFS	ベルファスト
GB-BGW	ブレナウ グウェント
GB-BIR	バーミンガム
GB-BKM	バッキンガムシャー
GB-BNE	バーネット
GB-BNH	ブリントンアンドホーブ
GB-BNS	バーンズリー
GB-BOL	ボールトン
GB-BPL	ブラックプール
GB-BRC	ブラックネル フォレスト
GB-BRD	ブラッドフォード
GB-BRY	ブロムリー
GB-BST	ブリストル
GB-BUR	ベリー
GB-CAM	ケンブリッジシャー
GB-CLK	クラックマナンシア
GB-CMA	カンブリア
GB-CMD	カムデン
GB-CON	コーンウォール
GB-COV	コヴェントリー
GB-CRF	カーディフ
GB-CRY	クロイドン
GB-CWY	コンウェー
GB-DAL	ダーリントン
GB-DBY	ダービーシャー
GB-DER	ダービー
GB-DEV	デボン
