# Generated by scripts/generate_legacy_iab_mapping.py.
# Re-run if 2_1.tsv or 3_0.tsv change.
# Empty v30_id with match_type=descriptive-vector-dropped means the
# legacy id was a Channel/Type/Media-Format/Language/Source/Source-Geo
# descriptor that 3.0 removed from topical content. Drop on migrate.
legacy_id	v30_id	label	match_type
387	387	Elections	id-preserved
388	388	Political Issues	id-preserved
389	389	War and Conflicts	id-preserved
390	390	Weather	id-preserved
391	391	Personal Finance	id-preserved
392	392	Consumer Banking	id-preserved
393	393	Financial Assistance	id-preserved
394	394	Government Support and Welfare	id-preserved
395	395	Student Financial Aid	id-preserved
396	396	Financial Planning	id-preserved
397	397	Frugal Living	id-preserved
398	398	Insurance	id-preserved
399	399	Health Insurance	id-preserved
400	400	Home Insurance	id-preserved
401	401	Life Insurance	id-preserved
402	402	Motor Insurance	id-preserved
403	403	Pet Insurance	id-preserved
404	404	Travel Insurance	id-preserved
405	405	Personal Debt	id-preserved
406	406	Credit Cards	id-preserved
407	407	Home Financing	id-preserved
408	408	Personal Loans	id-preserved
409	409	Student Loans	id-preserved
410	410	Personal Investing	id-preserved
411	411	Hedge Funds	id-preserved
412	412	Mutual Funds	id-preserved
413	413	Options	id-preserved
414	414	Stocks and Bonds	id-preserved
415	415	Personal Taxes	id-preserved
416	416	Retirement Planning	id-preserved
417	417	Home Utilities	id-preserved
418	418	Gas and Electric	id-preserved
419	419	Internet Service Providers	id-preserved
420	420	Phone Services	id-preserved
421	421	Water Services	id-preserved
422	422	Pets	id-preserved
423	423	Birds	id-preserved
424	424	Cats	id-preserved
425	425	Dogs	id-preserved
426	426	Fish and Aquariums	id-preserved
427	427	Large Animals	id-preserved
428	428	Pet Adoptions	id-preserved
429	429	Reptiles	id-preserved
430	430	Veterinary Medicine	id-preserved
431	431	Pet Supplies	id-preserved
432	432	Pop Culture	id-preserved
433	433	Celebrity Deaths	id-preserved
434	434	Celebrity Families	id-preserved
435	435	Celebrity Homes	id-preserved
436	436	Celebrity Pregnancy	id-preserved
437	437	Celebrity Relationships	id-preserved
438	438	Celebrity Scandal	id-preserved
439	439	Celebrity Style	id-preserved
440	440	Humor and Satire	id-preserved
441	441	Real Estate	id-preserved
442	442	Apartments	id-preserved
443	443	Retail Property	id-preserved
444	444	Vacation Properties	id-preserved
445	445	Developmental Sites	id-preserved
446	446	Hotel Properties	id-preserved
447	447	Houses	id-preserved
448	448	Industrial Property	id-preserved
449	449	Land and Farms	id-preserved
450	450	Office Property	id-preserved
451	451	Real Estate Buying and Selling	id-preserved
452	452	Real Estate Renting and Leasing	id-preserved
453	453	Religion & Spirituality	id-preserved
454	454	Agnosticism	id-preserved
455	455	Spirituality	id-preserved
456	456	Astrology	id-preserved
457	457	Atheism	id-preserved
458	458	Buddhism	id-preserved
459	459	Christianity	id-preserved
460	460	Hinduism	id-preserved
461	461	Islam	id-preserved
462	462	Judaism	id-preserved
463	463	Sikhism	id-preserved
464	464	Science	id-preserved
465	465	Biological Sciences	id-preserved
466	466	Chemistry	id-preserved
467	467	Environment	id-preserved
468	468	Genetics	id-preserved
469	469	Geography	id-preserved
470	470	Geology	id-preserved
471	471	Physics	id-preserved
472	472	Space and Astronomy	id-preserved
473	473	Shopping	id-preserved
474	474	Coupons and Discounts	id-preserved
475	475	Flower Shopping	id-preserved
476	476	Gifts and Greetings Cards	id-preserved
477	477	Grocery Shopping	id-preserved
478	478	Holiday Shopping	id-preserved
479	479	Household Supplies	id-preserved
480	480	Lotteries and Scratchcards	id-preserved
481	481	Sales and Promotions	id-preserved
482	482	Children's Games and Toys	id-preserved
483	483	Sports	id-preserved
484	484	American Football	id-preserved
485	485	Boxing	id-preserved
486	486	Cheerleading	id-preserved
487	487	College Sports	id-preserved
488	488	College Football	id-preserved
489	489	College Basketball	id-preserved
490	490	College Baseball	id-preserved
491	491	Cricket	id-preserved
492	492	Cycling	id-preserved
493	493	Darts	id-preserved
494	494	Disabled Sports	id-preserved
495	495	Diving	id-preserved
496	496	Equine Sports	id-preserved
497	497	Horse Racing	id-preserved
498	498	Extreme Sports	id-preserved
499	499	Canoeing and Kayaking	id-preserved
500	500	Climbing	id-preserved
501	501	Paintball	id-preserved
502	502	Scuba Diving	id-preserved
503	503	Skateboarding	id-preserved
504	504	Snowboarding	id-preserved
505	505	Surfing and Bodyboarding	id-preserved
506	506	Waterskiing and Wakeboarding	id-preserved
507	507	Australian Rules Football	id-preserved
508	508	Fantasy Sports	id-preserved
509	509	Field Hockey	id-preserved
510	510	Figure Skating	id-preserved
511	511	Fishing Sports	id-preserved
512	512	Golf	id-preserved
513	513	Gymnastics	id-preserved
514	514	Hunting and Shooting	id-preserved
515	515	Ice Hockey	id-preserved
516	516	Inline Skating	id-preserved
517	517	Lacrosse	id-preserved
518	518	Auto Racing	id-preserved
519	519	Motorcycle Sports	id-preserved
520	520	Martial Arts	id-preserved
521	521	Olympic Sports	id-preserved
